date,y,info
2000-01-01,666922,12-2000-1
2000-02-01,559962,meses
2000-03-01,441071,Ventas mensuales (kg)
2000-04-01,556265,Demanda agregada mensual  (en kilogramos) de las galletas Surtido de GAMESA: ene-2000 a mayo- 2003
2000-05-01,529673,
2000-06-01,564722,
2000-07-01,638531,
2000-08-01,478899,
2000-09-01,917045,
2000-10-01,1515695,
2000-11-01,1834695,
2000-12-01,1874515,
2001-01-01,802365,
2001-02-01,567637,
2001-03-01,527987,
2001-04-01,684457,
2001-05-01,747335,
2001-06-01,658036,
2001-07-01,874679,
2001-08-01,793355,
2001-09-01,1819748,
2001-10-01,1600287,
2001-11-01,2177214,
2001-12-01,1759703,
2002-01-01,574064,
2002-02-01,521469,
2002-03-01,522118,
2002-04-01,716624,
2002-05-01,632066,
2002-06-01,633984,
2002-07-01,543636,
2002-08-01,596131,
2002-09-01,1606798,
2002-10-01,1774832,
2002-11-01,2102863,
2002-12-01,1819749,
2003-01-01,1072617,
2003-02-01,510005,
2003-03-01,579541,
2003-04-01,771350,
2003-05-01,590556,
