date,y,info
1980-03-01,7547882.144,4-1998-1
1980-06-01,7536518.992,trimestres
1980-09-01,7478780.82,Millones de pesos a precios de 2013
1980-12-01,8008666.64,"PIB, a precios de mercado base 2013: Q1-1980 a Q1-2021 "
1981-03-01,8229212.702,
1981-06-01,8417818.004,
1981-09-01,8211045.527,
1981-12-01,8614524.865,
1982-03-01,8512096.4,
1982-06-01,8481760.759,
1982-09-01,8198953.899,
1982-12-01,8277251.689,
1983-03-01,8120479.85,
1983-06-01,7997531.117,
1983-09-01,7764430.844,
1983-12-01,8127328.588,
1984-03-01,8384896.23,
1984-06-01,8232124.573,
1984-09-01,8119301.524,
1984-12-01,8389536.374,
1985-03-01,8539105.041,
1985-06-01,8487030.468,
1985-09-01,8193121.959,
1985-12-01,8528896.049,
1986-03-01,8208491.352,
1986-06-01,8409218.652,
1986-09-01,7769449.783,
1986-12-01,8109501.791,
1987-03-01,8119219.038,
1987-06-01,8443175.116,
1987-09-01,8038083.561,
1987-12-01,8568977.287,
1988-03-01,8378163.162,
1988-06-01,8546889.028,
1988-09-01,8031742.408,
1988-12-01,8636950.844,
1989-03-01,8575114.059,
1989-06-01,8912465.891,
1989-09-01,8452556.703,
1989-12-01,8881444.762,
1990-03-01,8964419.624,
1990-06-01,9262515.905,
1990-09-01,8885511.844,
1990-12-01,9522792.509,
1991-03-01,9268190.329,
1991-06-01,9775235.335,
1991-09-01,9176389.016,
1991-12-01,9894608.989,
1992-03-01,9701986.33,
1992-06-01,9986417.75,
1992-09-01,9607923.069,
1992-12-01,10155182.26,
1993-03-01,10008894.66,
1993-06-01,10171035.41,
1993-09-01,10066258.41,
1993-12-01,10416096.23,
1994-03-01,10343388.49,
1994-06-01,10772526.23,
1994-09-01,10602752.89,
1994-12-01,10952773.4,
1995-03-01,10189745.48,
1995-06-01,9795718.997,
1995-09-01,9802904.372,
1995-12-01,10198513.3,
1996-03-01,10426430.91,
1996-06-01,10569227.51,
1996-09-01,10583112.1,
1996-12-01,11116526.6,
1997-03-01,10862932.04,
1997-06-01,11460068.1,
1997-09-01,11408200.83,
1997-12-01,11887380.08,
1998-03-01,11827638.01,
1998-06-01,12034464.21,
1998-09-01,11972371.61,
1998-12-01,12139816.61,
1999-03-01,12100154.55,
1999-06-01,12315219.08,
1999-09-01,12325229.13,
1999-12-01,12554685.79,
2000-03-01,12725022.06,
2000-06-01,12994568.9,
2000-09-01,13008792.24,
2000-12-01,13003302.16,
2001-03-01,12796119.5,
2001-06-01,12967530.19,
2001-09-01,12857408.65,
2001-12-01,12901429.21,
2002-03-01,12415541.45,
2002-06-01,13112362.76,
2002-09-01,12889950.08,
2002-12-01,13084104.38,
2003-03-01,12803323.69,
2003-06-01,13182930.05,
2003-09-01,12954912.94,
2003-12-01,13305707.41,
2004-03-01,13252629.58,
2004-06-01,13732336,
2004-09-01,13438260.1,
2004-12-01,13872034.55,
2005-03-01,13354787.87,
2005-06-01,14104833.95,
2005-09-01,13782144.44,
2005-12-01,14306523.82,
2006-03-01,14107960.02,
2006-06-01,14700503.92,
2006-09-01,14435867.71,
2006-12-01,14800897.34,
2007-03-01,14393727.37,
2007-06-01,14993339.39,
2007-09-01,14783298.24,
2007-12-01,15204938.91,
2008-03-01,14563428.38,
2008-06-01,15386334.05,
2008-09-01,14979494.72,
2008-12-01,15125053.57,
2009-03-01,13752148.82,
2009-06-01,14012937.57,
2009-09-01,14231941.45,
2009-12-01,14882965.69,
2010-03-01,14371721.47,
2010-06-01,14998399.32,
2010-09-01,14921452.79,
2010-12-01,15499605.2,
2011-03-01,14902733.24,
2011-06-01,15413046.56,
2011-09-01,15526015.33,
2011-12-01,16139539.28,
2012-03-01,15619752.45,
2012-06-01,16027465.05,
2012-09-01,15952811.21,
2012-12-01,16638865.9,
2013-03-01,15719787.54,
2013-06-01,16361864.29,
2013-09-01,16186108.81,
2013-12-01,16840987.68,
2014-03-01,16162068.2,
2014-06-01,16743444.57,
2014-09-01,16649895.57,
2014-12-01,17408791.67,
2015-03-01,16710213.83,
2015-06-01,17261227.6,
2015-09-01,17331655.06,
2015-12-01,17866336.09,
2016-03-01,17166339.66,
2016-06-01,17780990.74,
2016-09-01,17625602.45,
2016-12-01,18416024.08,
2017-03-01,17757880.98,
2017-06-01,18085472.86,
2017-09-01,17900776.07,
2017-12-01,18744915.36,
2018-03-01,18017126.58,
2018-06-01,18667812.27,
2018-09-01,18405689.75,
2018-12-01,18989547.4,
2019-03-01,18247589.15,
2019-06-01,18474906.1,
2019-09-01,18376100.53,
2019-12-01,18850755.01,
2020-03-01,18013060.74,
2020-06-01,15015519.27,
2020-09-01,16770879.12,
2020-12-01,18005414.48,
2021-03-01,17361534.72,
