date,y,info
2000-01-01,44.93,12-2000-1
2000-02-01,45.33,meses
2000-03-01,45.58,INPC
2000-04-01,45.84,Índice nacional de precios al consumidor. Base segunda quincena de Julio 2018 (mensual)
2000-05-01,46.01,
2000-06-01,46.28,
2000-07-01,46.46,
2000-08-01,46.72,
2000-09-01,47.06,
2000-10-01,47.39,
2000-11-01,47.79,
2000-12-01,48.31,
2001-01-01,48.58,
2001-02-01,48.54,
2001-03-01,48.85,
2001-04-01,49.10,
2001-05-01,49.21,
2001-06-01,49.33,
2001-07-01,49.20,
2001-08-01,49.49,
2001-09-01,49.95,
2001-10-01,50.18,
2001-11-01,50.37,
2001-12-01,50.43,
2002-01-01,50.90,
2002-02-01,50.87,
2002-03-01,51.13,
2002-04-01,51.41,
2002-05-01,51.51,
2002-06-01,51.76,
2002-07-01,51.91,
2002-08-01,52.11,
2002-09-01,52.42,
2002-10-01,52.65,
2002-11-01,53.08,
2002-12-01,53.31,
2003-01-01,53.53,
2003-02-01,53.67,
2003-03-01,54.01,
2003-04-01,54.11,
2003-05-01,53.93,
2003-06-01,53.98,
2003-07-01,54.05,
2003-08-01,54.22,
2003-09-01,54.54,
2003-10-01,54.74,
2003-11-01,55.19,
2003-12-01,55.43,
2004-01-01,55.77,
2004-02-01,56.11,
2004-03-01,56.30,
2004-04-01,56.38,
2004-05-01,56.24,
2004-06-01,56.33,
2004-07-01,56.48,
2004-08-01,56.83,
2004-09-01,57.30,
2004-10-01,57.69,
2004-11-01,58.19,
2004-12-01,58.31,
2005-01-01,58.31,
2005-02-01,58.50,
2005-03-01,58.77,
2005-04-01,58.98,
2005-05-01,58.83,
2005-06-01,58.77,
2005-07-01,59.00,
2005-08-01,59.07,
2005-09-01,59.31,
2005-10-01,59.45,
2005-11-01,59.88,
2005-12-01,60.25,
2006-01-01,60.60,
2006-02-01,60.70,
2006-03-01,60.77,
2006-04-01,60.86,
2006-05-01,60.59,
2006-06-01,60.64,
2006-07-01,60.81,
2006-08-01,61.12,
2006-09-01,61.74,
2006-10-01,62.01,
2006-11-01,62.33,
2006-12-01,62.69,
2007-01-01,63.02,
2007-02-01,63.19,
2007-03-01,63.33,
